,signals,site,timestamp,data_name
SITE_SM_batteryInstPower,8.833333333333258,e6bcf7cf,2022-03-03 21:06:07+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-6022.742126464844,e6bcf7cf,2022-03-03 21:06:07+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,7178.956258566293,e6bcf7cf,2022-03-03 21:06:07+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-1.166666666666742,7da0acb7,2022-03-03 21:06:07+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-4304.70506998698,7da0acb7,2022-03-03 21:06:07+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,4919.669970703125,7da0acb7,2022-03-03 21:06:07+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,8.833333333333258,c18b6195,2022-03-03 21:06:07+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-103.38383363087925,c18b6195,2022-03-03 21:06:07+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,297.3075064341223,c18b6195,2022-03-03 21:06:07+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-4148.8333333333285,20abb173,2022-03-03 21:06:07+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-6.6923268636070805,20abb173,2022-03-03 21:06:07+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,5851.498063151035,20abb173,2022-03-03 21:06:07+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,0.0,f34b386a,2022-03-03 21:06:08+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,1175.4046854654935,f34b386a,2022-03-03 21:06:08+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,6115.8694010416675,f34b386a,2022-03-03 21:06:08+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-1992.6666666666608,f7f9ac09,2022-03-03 21:06:08+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,1.9979995727537712,f7f9ac09,2022-03-03 21:06:08+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,3350.298681640625,f7f9ac09,2022-03-03 21:06:08+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,8.666666666666742,5fc96249,2022-03-03 21:06:08+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-6987.268733723959,5fc96249,2022-03-03 21:06:08+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,7560.683024088542,5fc96249,2022-03-03 21:06:08+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-2676.0,82c74b9e,2022-03-03 21:06:08+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,14.713332239786869,82c74b9e,2022-03-03 21:06:08+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,3242.5107259114584,82c74b9e,2022-03-03 21:06:08+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-170.0,b255f7ad,2022-03-03 21:06:08+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,2223.595987955729,b255f7ad,2022-03-03 21:06:08+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,174.1833384195963,b255f7ad,2022-03-03 21:06:08+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,462.6666666666665,61bff705,2022-03-03 21:06:08+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,1.409999990463259,61bff705,2022-03-03 21:06:08+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,-218.99294121275108,61bff705,2022-03-03 21:06:08+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,2.666666666666515,619fd2b9,2022-03-03 21:06:08+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,,619fd2b9,2022-03-03 21:06:08+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,,619fd2b9,2022-03-03 21:06:08+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-250.0,260f359a,2022-03-03 21:06:08+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,26.05199902852394,260f359a,2022-03-03 21:06:08+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,681.5173380533854,260f359a,2022-03-03 21:06:08+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-3964.666666666667,4faff963,2022-03-03 21:06:08+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-12.104663085937487,4faff963,2022-03-03 21:06:08+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,4573.995328776042,4faff963,2022-03-03 21:06:08+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,780.6666666666683,499a251d,2022-03-03 21:06:08+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,,499a251d,2022-03-03 21:06:08+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,,499a251d,2022-03-03 21:06:08+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,10.0,dfc6fdf5,2022-03-03 21:06:08+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-5124.880859375,dfc6fdf5,2022-03-03 21:06:08+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,5466.824772135416,dfc6fdf5,2022-03-03 21:06:08+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,-8.666666666666742,64e1616f,2022-03-03 21:06:08+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,62.12666015625085,64e1616f,2022-03-03 21:06:08+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,599.4833414713531,64e1616f,2022-03-03 21:06:08+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,6.000000000000227,93c8a2c1,2022-03-03 21:06:08+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-769.6306803385427,93c8a2c1,2022-03-03 21:06:08+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,1312.2128959387896,93c8a2c1,2022-03-03 21:06:08+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,8.500000000000227,eec02ec5,2022-03-03 21:06:09+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-5065.853503417969,eec02ec5,2022-03-03 21:06:09+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,6157.507482910156,eec02ec5,2022-03-03 21:06:09+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,8.500000000000227,49b6c0dd,2022-03-03 21:06:09+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-3569.7999999999997,49b6c0dd,2022-03-03 21:06:09+00:00,SITE_SM_siteInstPower
SITE_SM_solarInstPower,-4923.9,49b6c0dd,2022-03-03 21:06:09+00:00,SITE_SM_solarInstPower
SITE_SM_batteryInstPower,,d0926969,2022-03-03 21:06:09+00:00,SITE_SM_batteryInstPower
SITE_SM_siteInstPower,-3949.3049987792974,d0926969,2022-03-03 21:06:09+00:00,SITE_SM_siteInstPower
